date,theme,sentiment,comment_count
2023-10-30,other,neutral,9
2023-10-30,promos_bonuses,neutral,3
2023-10-31,other,neutral,6
2023-10-31,product_ux,neutral,1
2023-10-31,trust_payouts,neutral,1
2023-10-31,win_loss_emotion,neutral,1
2023-11-01,other,neutral,5
2023-11-02,other,neutral,2
2023-11-02,product_ux,neutral,1
2023-11-03,other,neutral,4
2023-11-04,other,neutral,1
2023-11-05,other,neutral,2
2023-11-05,win_loss_emotion,neutral,1
2023-11-06,other,neutral,2
2023-11-07,other,neutral,1
2023-11-07,other,positive,1
2023-11-07,win_loss_emotion,neutral,2
2023-11-08,other,neutral,2
2023-11-08,other,positive,1
2023-11-08,support,positive,1
2023-11-09,other,neutral,2
2023-11-12,other,neutral,1
2023-11-12,win_loss_emotion,neutral,1
2023-11-13,other,neutral,1
2023-11-14,other,neutral,1
2023-11-15,other,neutral,1
2023-11-16,product_ux,neutral,1
2023-11-17,other,neutral,1
2023-11-21,other,neutral,2
2023-11-22,other,neutral,2
2023-11-22,win_loss_emotion,neutral,1
2023-11-25,win_loss_emotion,neutral,1
2023-11-26,other,neutral,3
2023-11-30,other,neutral,2
2023-12-06,other,neutral,1
2023-12-08,other,neutral,1
2023-12-13,other,neutral,1
2023-12-15,other,neutral,1
2023-12-18,promos_bonuses,neutral,1
2023-12-19,product_ux,neutral,1
2023-12-19,win_loss_emotion,neutral,1
2023-12-22,other,neutral,1
2023-12-24,other,neutral,1
2023-12-25,other,neutral,1
2023-12-26,other,neutral,2
2023-12-27,other,neutral,1
2024-01-02,other,neutral,1
2024-01-04,other,neutral,1
2024-01-05,other,neutral,1
2024-01-05,win_loss_emotion,neutral,1
2024-01-08,other,neutral,1
2024-01-11,other,neutral,1
2024-01-19,other,neutral,1
2024-01-21,other,neutral,1
2024-01-23,other,neutral,1
2024-01-31,other,neutral,1
2024-01-31,win_loss_emotion,neutral,1
2024-02-02,other,neutral,2
2024-02-03,other,neutral,1
2024-02-05,other,neutral,1
2024-02-08,other,neutral,1
2024-02-09,other,neutral,2
2024-02-12,other,neutral,2
2024-02-13,other,neutral,1
2024-02-18,other,neutral,1
2024-02-23,other,neutral,1
2024-04-08,other,neutral,3
2024-04-08,other,positive,1
2024-04-08,product_ux,neutral,1
2024-04-08,promos_bonuses,neutral,1
2024-04-09,other,neutral,1
2024-04-10,win_loss_emotion,neutral,1
2024-04-12,other,neutral,1
2024-04-12,product_ux,neutral,1
2024-04-15,other,neutral,1
2024-04-17,other,neutral,1
2024-04-18,other,neutral,1
2024-04-19,other,neutral,1
2024-04-20,other,neutral,3
2024-04-21,other,neutral,1
2024-04-24,other,positive,1
2024-04-27,other,neutral,3
2024-04-29,other,neutral,2
2024-05-02,other,neutral,3
2024-05-03,other,neutral,1
2024-05-04,other,neutral,1
2024-05-05,other,neutral,1
2024-05-06,other,positive,1
2024-05-06,product_ux,neutral,1
2024-05-07,other,neutral,1
2024-05-09,other,neutral,1
2024-05-09,product_ux,negative,1
2024-05-09,trust_payouts,negative,1
2024-05-09,win_loss_emotion,negative,1
2024-05-12,other,neutral,1
2024-05-13,other,neutral,2
2024-05-13,product_ux,neutral,1
2024-05-14,other,neutral,1
2024-05-16,other,neutral,6
2024-05-17,other,neutral,5
2024-05-18,other,neutral,3
2024-05-18,other,positive,1
2024-05-18,trust_payouts,negative,1
2024-05-18,win_loss_emotion,neutral,1
2024-05-19,other,neutral,4
2024-05-20,other,neutral,1
2024-05-20,other,positive,1
2024-05-21,other,neutral,3
2024-05-21,other,positive,3
2024-05-21,promos_bonuses,neutral,1
2024-05-21,trust_payouts,neutral,1
2024-05-21,win_loss_emotion,neutral,3
2024-05-22,other,neutral,7
2024-05-22,win_loss_emotion,neutral,1
2024-05-23,other,neutral,2
2024-05-23,promos_bonuses,neutral,1
2024-05-24,other,neutral,3
2024-05-24,other,positive,1
2024-05-24,win_loss_emotion,neutral,1
2024-05-25,other,neutral,2
2024-05-26,other,negative,1
2024-05-26,other,neutral,2
2024-05-27,other,neutral,3
2024-05-27,support,neutral,1
2024-05-27,win_loss_emotion,neutral,2
2024-05-28,other,neutral,5
2024-05-30,other,neutral,2
2024-05-31,other,neutral,2
2024-06-01,other,neutral,1
2024-06-02,other,neutral,1
2024-06-03,other,neutral,2
2024-06-04,other,neutral,2
2024-06-05,other,neutral,2
2024-06-07,other,neutral,1
2024-06-08,other,neutral,1
2024-06-10,other,neutral,3
2024-06-11,promos_bonuses,neutral,1
2024-06-12,other,neutral,1
2024-06-13,other,positive,1
2024-06-13,trust_payouts,neutral,1
2024-06-14,other,neutral,2
2024-06-16,other,neutral,1
2024-06-18,other,neutral,1
2024-06-19,trust_payouts,neutral,1
2024-06-20,other,neutral,1
2024-06-21,other,neutral,1
2024-06-21,other,positive,1
2024-06-21,win_loss_emotion,positive,1
2024-06-22,other,neutral,1
2024-06-23,win_loss_emotion,neutral,1
2024-06-26,other,neutral,1
